id,fecha_aproximada,contenido,cantidad_respuestas_aprox,comentarios_usuarios,compartidos,enlace,reacciones,sentimiento_contenido,prob_POS_contenido,prob_NEG_contenido,prob_NEU_contenido,sentimiento_comentarios
60,3 de junio a las 6:43 am,"Dip @RocioVallejoA explica, en la 7.30 AM ABC Cardinal, Paraguay, que comisión de @DiputadosPy sobre intervención de @AsuncionMuni espera a su pte designado @rodrigamarrak, que llega hoy de viaje, para actuar. Estima que esta semana estarán convocados @nenechopy y @contraloriapy",0,,,https://www.facebook.com/evargaspena/posts/pfbid0U5uoUdPLexc4uKgKuWXuBVHoZwp1Zu7BFovuUqKYoZGdmUb47VQegh93SgwHK4BKl?__cft__[0]=AZUqM7i0BAna8IGwggiyAYto_E3yof2DkeeGLDUW67GbW4TQaEbJIgdx3jwV9SdSAQxOQeY03guwURGRXtGMM3kmxCVMWtFEJLDvXCMkDZCV8yIE7hoMnaASh7Z55i-424unwbFKG4m8lic-4P29pMdDEaz6D9SE3wMJJloEw2OlEIG33t24RfsBl6alSrLVRbE&__tn__=%2CO%2CP-R,,NEU,0.10991867631673813,0.11294609308242798,0.7771351933479309,SIN_COMENTARIO
61,3 de junio a las 5:30 am,"Hola, hasta las 08:00 estoy en 7.30 AM ABC Cardinal, Paraguay. Deportes con Ariel Julian Marecos",0,Bieenn,,https://www.facebook.com/evargaspena/videos/690672523935879/?__cft__[0]=AZUF1TyLR4qrANkrpcCgE9Bo3UZ31awMI_K4uD7nJQ_H6rtQG_Wx5Q_zWtA27_Pw4SlTS4Br3sww2hK_AsOZk3B-DbZOshyGyc9WMyM_zr5F2nUTh8xrEPGo7TgCHqfqctm9fzPeIGJ3nAUjq_6M4vi90X_qZdG_wgZd7MvIsUMY0YyxMt56QQyS5P8-UfnCZtt2xQ88EQvCPMEZplOzXaAj&__tn__=%2CO%2CP-R,,NEU,0.21240070462226868,0.031092524528503418,0.7565068006515503,POS
62,3 de junio a las 4:04 am,"Anoche hablamos con @felipegsoley, nuevo vicemin de Economía @MEF_Paraguay, sobre déficit fiscal, crecimiento, ineficiencia del Estado y cajas fiscales. Con la diputada @DaliaE_Py sobre ""masculinicidio"" y discriminación de género en ley 5777",0,,,https://www.facebook.com/evargaspena/videos/678508998381258/?__cft__[0]=AZVTW_KR62GmXmtntY_SdEK-6hMaNlVVGkyGUnKRmFrWOBEN9e3ei4cNciJa3O50eXkhpMsywpcoWPeCMpw7jKpwphXnjbaxVgdDPa-q074ipUPxU9OpW3YbrAkG__rLAiHbztCgJsMLAFeoxcYze_gc2SE58GEIKJYLnPgEY_ycpCMxmlJnc_lio3M4X-PLzCDyyLgLZXXjUhH7PMrhhpg7&__tn__=%2CO%2CP-R,,NEG,0.030502809211611748,0.6347620487213135,0.33473506569862366,SIN_COMENTARIO
63,2 de junio a las 7:59 pm,"A partir de las 20 horas estoy en ABCTV, en ""Mesa"", canales 19 de TigoStar y 3 de Personal tv",0,No se olviden también de este muchacho Enrique ! La violencia no tiene genero,,https://www.facebook.com/evargaspena/videos/677641538396011/?__cft__[0]=AZVigkh6Eil9iefykCEmFhMN-XcjJA_94Wr4ySCRDCc4u6UCd9GUlSWzns2ssWSc2YXeudL2eim6s-jlLLH3c40uY8oTFfXqxOj5iIE2_TfEqoX6KZmwjrjKLoZ-ltyZBWMRxTmvDvCqaBYoWLeJMYkrR19AzWSamS-PJA3QROFRlzthHUyivgv_J0SP65l51X5uuvRhbZxZcA5jjP8O970C&__tn__=%2CO%2CP-R,,NEU,0.15050607919692993,0.04011036828160286,0.8093835115432739,NEU
64,2 de junio a las 7:22 pm,De que el proyecto totalitario fascista del Foro (@wef) es un retorno a la Edad Media queda probado con la restauración de las leyes de blasfemia en varios paises de Europa. Son un asco. Nazis de mierda!!,0,,4 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid02TQbSCSnK1YPfRHFV15i7aAQqiULoq52gH9SUJ1fg1xHDAwohyYwiUZbQFKgsJTX1l?__cft__[0]=AZXVnpQSXGEtC6CopKWEbcWbHqG9aWE6zsXiRk5ellsW_J6dO59ThfISCPPo4JfXlmuQXMbGt3mE-Vq-MSzEqAfnJmA24WVm95lGGg41JlxxML1Tk_2E0weF4CmgZbdh0mGHEEzkzIZFSMHko2L-WOSMzCG9hqmcXdEbL1-y0aFO0s1ZD2cI5WdTzLIHG-1-zV8&__tn__=%2CO%2CP-R,,NEG,0.006542464252561331,0.9687018990516663,0.024755699560046196,SIN_COMENTARIO
65,2 de junio a las 5:47 pm,"Desde las 17 y hasta las 19 seguimos con @figuejuanma en la 98.5 ABC FM, sólo  éxitos",0,,,https://www.facebook.com/evargaspena/posts/pfbid0ekNJJLT41pzCMDhrVHvursq4zDVV8gfbzAGzdMTHeDCSNQWrM5Dogwf38e7aSPLHl?__cft__[0]=AZXevmaMO9oA57qA-ijYg5v6-2B8rEYxEfAM3ExYFERP3TIYPFoVKrERs3v7ISbnNZSfV-Utw3FGd2vlkYNK1voXnYOQ30vamNquiqMsdMJBYuQpB-eCGmuIvViq5jnjDgwRFx1sE-ouv0fWEeFc23TWChbWfe4GvZTIiRqky459Y6rnkr8nXwmfe8tv4wwS3idPMCil75h18gYWtHqRLWML&__tn__=%2CO%2CP-R,,POS,0.48317578434944153,0.039908383041620255,0.4769159257411957,SIN_COMENTARIO
66,2 de junio a las 4:37 pm,Intensa apertura de semana,0,Hola,7 veces compartido,https://www.facebook.com/evargaspena/videos/699349379373485/?__cft__[0]=AZXT6t3SKyNL8nVvYyU9xYjV-nRPLOgjl3zs7xauD0HJ4bU5fthbsVebdSaDAqquiFHzUDdFSF0h8rtGI-FRKtW_litNJ7pIl2zIIT6HZnMtsFtEFRvkUifwiCuFGs3O1_Mp8R7Oj6ui1ZRYIJu_4AU69KU_ldCdUOOzwT1bkelpSfjCCp_edRGmGUaVkkusg1xc8bfF1Jy0NX58PJJlV-pF&__tn__=%2CO%2CP-R,,POS,0.7780563831329346,0.027447717264294624,0.19449588656425476,NEU
67,2 de junio a las 7:04 am,"Diputado @CandiaDiego, @PrensaHonor, @ANRParaguay, recuerda, en la 7.30 AM ABC Cardinal, Paraguay, que es originario del equipo político del intendente @carlosintendent y que es pre candidato a la intendencia de Luque y que él se ofreció como candidato a integrar el @Jem_py",0,"Ese es un corrupto socio del hijo de Óscar González Daher,bandido sinvergüenza,pregunten por qué se le llama concejal veloz?",,https://www.facebook.com/evargaspena/posts/pfbid0fjNk88RQd2yApwXRxsN337VnKDMFoTeXipBp8GfSwGPvn3GobmAAze75sKGqStTnl?__cft__[0]=AZX8XEu6h26aFtuslrb-s30yp0pcPDgiWv3pHeyRGXfFyGk-gi5yzXDJw9jwYSNjp0iWdq4w5NRejQS4IEzywNd2NAQPsFKvJPtYfL0hZo6bm6hr0-X_D4c2rEhZPlxawGtSXITUg1XxHS9ttx7qo4J9C9RZVyURurmU8la6hdH-CcwUcDQVwiSIPiT1xCv9fUg&__tn__=%2CO%2CP-R,,NEU,0.14485648274421692,0.06473029404878616,0.7904132008552551,NEG
68,2 de junio a las 6:45 am,"Diputado @CandiaDiego, @PrensaHonor, @ANRParaguay, expone, en la 7.30 AM ABC Cardinal, Paraguay, su curriculum para el @Jem_py: Egresado UNA 2007, asesor jurídico y litigante y sugiere que, a diferencia Hernán Rivas y Orlando Arévalo, conoce el sistema a cabalidad",0,,,https://www.facebook.com/evargaspena/posts/pfbid02YSQMcjo1mqwatJt8zpv5HJcN3ytpiReJw6wT3QL2L9WxVkHYB8Dm2398w2u5mwvql?__cft__[0]=AZXQbEef0ybmk5PmxLDk6qk3ocsGB9Otf_sQ-cSOyH7Hd6MJ9ilmSw_66XVnfK4EjLDuPjXiMvCZO4oNTbwtHRD55_WKA1HjGsGdaCvL_drnuXDGydivYwEeR0yhJQXXd36pXxmQO5UALyLDlEU_G1nt3RQZ8W-u6rd2RPq-STwR1xoYYhBLbLk0-aDD7UnEKwk&__tn__=%2CO%2CP-R,,NEU,0.1549018770456314,0.056157443672418594,0.7889406681060791,SIN_COMENTARIO
69,2 de junio a las 6:17 am,"Robert Marcial González, abogado de @KattyaGonzalez9, coincide, en la 7.30 AM ABC Cardinal, Paraguay, en que la oposición validó los precedentes de facto de no acatamiento de @SenadoresPy a la Corte, @PoderJudicialPY. Estima que ahora es oportunidad de corregirlo",0,"Con Lugo la oposición no acataron la orden judicial y estaba todo bien porque ellos eran lo que hacían, hasta le metieron a un senador que no juro (Friedmann) y seguia estando bien, pero ahora que le toca a ellos está todo mal, que hay que acatar la or…",2 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid02wLckipX8Sj62F1GV1xJ39yniQazVVa2Q6BWr6DoafRj659rEg3EiyYhdm2zkyKLHl?__cft__[0]=AZUvlo8j2cpXt-W2uW2ARdcXMZEeN-kSqo7BdTgOzum4LmRC5oqzR6V8qlI47iwMIB-3RuV-rGL0Do1ylsuFZoMyLFt83MwhwB_C270alQo188GrCVK7074TlwzEryUCJrkLYtqZoS6QTmcgu27QVwHuoDFMzxFT-HZ4Cmxn3gIrbT2_BP4OF-xieLgbDTtREno&__tn__=%2CO%2CP-R,2.0,NEU,0.06539309024810791,0.34200194478034973,0.5926050543785095,NEG
70,2 de junio a las 6:11 am,"Robert Marcial González, abogado de @KattyaGonzalez9, se muestra optimista, en la 7.30 AM ABC Cardinal, Paraguay, sobre resolución en la Corte Suprema, @PoderJudicialPY, del caso del retorno de su hermana a @SenadoresPy. Pero pesimista sobre su imperio en @SenadoresPy",0,No va pasar eso,,https://www.facebook.com/evargaspena/posts/pfbid0zaTbBPvYqGxcnMxetcusc8okRaMwoEVfydwvKKicFDqhG2rcBTEcPoA8yrLm29hVl?__cft__[0]=AZWofinE07nYxH-nOTx3LNVMOc3Jh3nes8aMHhk5n6-Ggqa5ab3o5Op9n3XPkt2MhYh9Z665mH0w3hI3CCdfM1jzbz6dp0tZPs7j-1BLcX3893V6St3h_YYeu8p32J3UZBNFkgEjvW8_lWxT68x1eIhApVP9v-NxUeRav6SyFZp0zqTjEV6_mK348pqgV461dCs&__tn__=%2CO%2CP-R,,NEU,0.05831705033779144,0.2632262110710144,0.6784566640853882,NEU
71,2 de junio a las 5:37 am,"Hola, hasta las 08:00 estoy en 7.30 AM ABC Cardinal, Paraguay. Deportes con Ariel Julian Marecos",0,Desastre co Enriqueta,,https://www.facebook.com/evargaspena/videos/1074231174554916/?__cft__[0]=AZWLS5Qxt-h_Mb5q0ktSeeDumGi7MoZekmV2IqbV-DVt0OuB8j_qELXdlMvTS7DSsVFZLOFZwOs4WKaJVFJnVCUMfD318W6q5buj8h01beNQJ3jqPH9E5JGC9AXtBnUoMyCEf09E_mvxOLFf8v22KaZ7OF4Nqg5oh-zvaNqlhbU-eVwCHoaJBK79LHrCl-CRlHb_F4WBCK0vG5CV0NgQIA4b&__tn__=%2CO%2CP-R,2.0,NEU,0.21240070462226868,0.031092524528503418,0.7565068006515503,NEG
72,2 de junio a las 4:12 am,"El viernes hablamos largamente con el videpresidente de la República, @AllianaPedro, sobre @Muni_CDE, @nenechopy, @KattyaGonzalez9, su candidatura presidencial y la @ANRParaguay contra el globalismo",0,Cada vez estás,2,https://www.facebook.com/evargaspena/videos/2188261468290193/?__cft__[0]=AZUuCQATyd_78gVQJSXP365WMQysj7kumL13GWH1U2ta5XEB4uccWLEKXgmhF3e4f3PQYigmv836q7OmZAHAVXNNtz0hQAj_sGjWFMedirFrY4upvESzhrz_d7ZsTUIkipdtjF4pOUSU9tSkg_5ITUm2aA9r8IlCnPaFgC4PXoxjqff0t8rGYfAauJwXO3_SdNCNIMMKesPl7fxldk36iP3s&__tn__=%2CO%2CP-R,2.0,NEU,0.2624219059944153,0.09246545284986496,0.6451126933097839,NEU
73,2 de junio a las 3:55 am,"Anoche, Leando Villalba, @contraloriapy, confrontó a @emiliocamachop, Juan José Armoa, @AsuncionMuni, y  @marcelo_duartem sobre dictamen por el que el Poder Ejecutivo pidió intervención de @AsuncionMuni y de @Muni_CDE",0,,3 veces compartido,https://www.facebook.com/evargaspena/videos/1033838305483246/?__cft__[0]=AZXX6nz4uC3oQ3fE7e29lKZozGvi4LemqvuXK_P7EjUp6tSBNH0JtdGiksWzYlAYZwrtWQ7HUrwbcnf0KB5u9dW-Q04rjfMxoazWpveAuqjLyOcnHyNmDNJ_Ajd6BCogyR4u5HRg88kx3Gtfa6oYm3lDQZ5yy80bftNe1qGJdMsjOUZ6PTzYREH98OObtT8fiQUYMCyZsxsE53KGy8_CAbu-&__tn__=%2CO%2CP-R,,NEG,0.03610049560666084,0.5514643788337708,0.4124350845813751,SIN_COMENTARIO
74,1 de junio a las 8:09 pm,"""En Detalles"" por ABCTV, canales 19 de TigoStar y 3 de Personal tv",0,,3 veces compartido,https://www.facebook.com/evargaspena/videos/494574800348848/?__cft__[0]=AZU4iu27l3hn4OPxH_qp_NoWlaOwulbKDKG4_c9XwIPJSttR317solfgt07WfSrSZ_4_CyKOPnmoWKQhsUxRbcfsyeF_HiGLM-_X6fSyiiF7YCGazkeDdhioXmmvCwFgqWHk1M_4ps8vCfodBqqmIISzXo6y3URtOKYhT7vc3l1DlMB07q8ZJ2d2_VyisdKNtSLp1Pr70A7E1gKT-EEHRx_7&__tn__=%2CO%2CP-R,,NEU,0.17246821522712708,0.05314471200108528,0.7743871212005615,SIN_COMENTARIO
75,1 de junio a las 9:20 am,"Escribí ""Lo que reveló el caso de Miguel Prieto""",0,,14 veces compartido,https://www.facebook.com/evargaspena/videos/1405369207324189/?__cft__[0]=AZUmVnU92G3RGb7tw4qAfNiFSltX5Lejdace7ZdL7b1F3Agg7gqRndpNu1ZWmJMX75yq6fEJvjA5GhL3Ke_pAQ-LZjtCxgbGyqgCbVMcQ5T8bMMuwKWPS_X-1_NxXAUIpgwchxDbL2a82J3HpWo42cHLZ6ff8u45CrIYSKzW2X8pwTriIYkF0uQIDb9Dtf8Uzv1jnA-zpQiBswgrVosuFTOD&__tn__=%2CO%2CP-R,,NEU,0.05674516409635544,0.38700464367866516,0.5562502145767212,SIN_COMENTARIO
76,30 de mayo a las 6:39 pm,,3,Gran vendido co carruaje,1 vez compartido,https://www.facebook.com/evargaspena/videos/1728291694446388/?__cft__[0]=AZUKS900PFZau_KhmJS9S_zb05uHKJ5vBKmod1wEjkbZ1IW4GfRxGJqzvx9bbKA7qYuYQTycPQH2oKHOTiy4wRW8of0FbL6plz40CZAU-VRR5ZDyPOaEdADGkAfzp28Z4qH5az2bi-gqqQ7zpWF2QMHJ--FAXce1dNTga_6wZrbrBgA6GsnX6srVwc-jjMABPTxv_UIkDscJXlYoP197kKCM&__tn__=%2CO%2CP-R,3.0,NEU,0.17293284833431244,0.35219326615333557,0.4748738706111908,NEG
77,30 de mayo a las 8:33 am,Lo que está pasando en EEUU con los jueces promovidos por el globalismo demuestra más allá de toda duda razonable que hay que evidenciar y poner en conocimiento público que acá también hay copamiento globalista del @PoderJudicialPY,0,Y no te preocupes de nuestra justicia corrupta nde carrauje!!!,4 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid02UwpTx2QBVNFH71zyFGyWsqBbW1Tsjuxr3eJmq5gDLjPdX2U1P7PbRv3Yk4S4Fs4al?__cft__[0]=AZUHS-ihfuVm9qz_cgRkos7D3_5gAoGXn-0yTcCSJXLI52q7Kn1ZoSnY3A6sEL3gRrUW9pDZbuSREZQLoIaGoSNp3qjuvfrMEhEk8Z7qaz-Cep_OgZpt5dnJ-U0KRxrr66o5hibauvH8H5de-S9NIcLgt5bKec9JyNTD4SoD-j4rpgLKhCBMiMcxBG3it1Mcz9U&__tn__=%2CO%2CP-R,2.0,NEG,0.01573023572564125,0.8888033628463745,0.09546645730733871,NEG
78,30 de mayo a las 4:15 am,"Anoche, Juan Carlos Arévalos, abogado de @MiguelPrietoCDE, justificó la nulidad de informe de @contraloriapy que pidieron a Tribunal de Cuentas alegando que el mismo suplanta al Poder Ejecutivo y discutiendo gradación que da a irregularidades admitidas. Y @TSJE_Py sobre elección",12,"El que nada Debe, nada Teme!!",,https://www.facebook.com/evargaspena/videos/1035709768192720/?__cft__[0]=AZXH0w1m5TJeIu6QMLpFOkGFYQARcxyBUl7Qtsk2OSbUfvpvG-mNgaJUwSTZXDj-K--eX_Vgf8AhJweJoAoD6w8XnlSClfel9gqt382eODDx6hDlmzfkKQPh1AtpF5BQZMWZDGnXSdF7gMDqY5-9uExbKU_HC6_T3339sg3ZgpkyO7noRkUYDhzVMi3RG3pxo1yPKxIjElVrj00wwxd4SlbF&__tn__=%2CO%2CP-R,,NEG,0.02017216570675373,0.5691115260124207,0.41071635484695435,NEU
79,29 de mayo a las 7:55 pm,"A partir de las 20 horas estoy en ABCTV, en ""Mesa"", canales 19 de TigoStar y 3 de Personal tv",0,Interesantísimo quiero escucharlos.,1 vez compartido,https://www.facebook.com/evargaspena/videos/1847245059391621/?__cft__[0]=AZWaUyk6I8FousTzWxx4O4DAuSLajAAj6tSj88Dajj6FfZkLk8FrKEG6ljMLvlYuz0GHuXnr-6ZKtnhEShTTLdn7b6ZrzuVwCuLrWwfV94FQQA90qAVcC05lafoFMZxB2AOTybhIqaM8kyu0rmg8jbPipxgW50UDcGuWRAxe1qHbXqKHTXMH0wNeK1Gsa5QJFytXg3KD5aqPO5TaofQqA1Lf&__tn__=%2CO%2CP-R,,NEU,0.15050607919692993,0.04011036828160286,0.8093835115432739,POS
80,29 de mayo a las 4:28 pm,Varios temitas antes del fin de semana,0,Eso de pasar los nros de las denuncias....como bien dijiste.. denuncia no se puede saber si es verdad o falsa!@..y abundan las falsa,3 veces compartido,https://www.facebook.com/evargaspena/videos/700055486128319/?__cft__[0]=AZUU52RGr0orMs3YeiaYI7tUQ7X03TIVW5YTcOFGHtyOw9U4DnHQkCXXGMBQynf9Zy3yIzAI6mBwt97eeTuo9e8Tvb1uJAEyyuBIIqwbHGKjNXllgQvccUrKIih4vT8wlH8wRbgnrP6isGhlQk93ro_Vkb12vqlF8pzugeb6TLJZF9LhjG5MnMZZCo0X28-mJEhKRp0z13BJY4NB7RlRARDF&__tn__=%2CO%2CP-R,,NEU,0.38211551308631897,0.025786053389310837,0.5920984148979187,NEG
81,29 de mayo a las 9:14 am,"Ministro @JavierGimenezGZ, @MIC_PY, agregó esta mañana, en LPM por la 7.30 AM ABC Cardinal, Paraguay, que durante el último viaje de @SantiPenap con Emiratos Árabes Unidos se trabajó en la aplicación de su Fondo de Inversiones a hidrovía, bioceánica y gasoducto, entre otros",0,Contame una de cowoy,,https://www.facebook.com/evargaspena/posts/pfbid0SccoWLwMbjRwVeDfgkj5Pi8FsQpdQifi99HSiMSQuj8hvCh7expfcgRPshWv6buel?__cft__[0]=AZViFOJEHbUTdmFMXkuPf3ZoHTdh8GJ5S9brMT4WBQzdqygj3GWoAnA5-p5j9frlB6BB3Os0wkG_5xyo3ScHwfyFgOXTnSw7_I_nJUqc-mNaUxFEqwdB-83eSb85Inze24IjZYX8EushC4_EuPsqrBamEfGBOEhghgXV6_0wAtvIRjus1s6FhYR0zFkjYZlxiv0&__tn__=%2CO%2CP-R,5.0,NEU,0.24521873891353607,0.12422379106283188,0.6305574178695679,NEU
82,29 de mayo a las 9:01 am,"Ministro @JavierGimenezGZ, @MIC_PY, reveló esta mañana, a LPM por la 7.30 AM ABC Cardinal, Paraguay, que durante el último viaje de @SantiPenap se concretaron ""al menos"" US$ 500 millones de inversiones (Singapur y Japón)",0,"Y tenía razón Desire, se convirtió en Perifoneo del Cartismo.",1 vez compartido,https://www.facebook.com/evargaspena/posts/pfbid02gDDsqMLg5rhSnJtMyWrtVq6HZVJQBW8R1kJSisS1UXHc7uvAAqmxJeg51r4kPhznl?__cft__[0]=AZUQA0Y7wLgUNaMq9jp63b5Y4PABT8nQ8e91ChW56kCW8C9abVp-FR_YErdOkz-v2vB1Y167vwb5aw1j9uLUqnMuB9xyJvz8In8L7kHiSyqMuWD9Qs7bV9ah_tE2cxX69zjoyQOyuUzHviJcdsuALmKxnDfiRojxkEKgDPbK3JcZQMAx1Tv6lZQjv1Qnha4-Ujs&__tn__=%2CO%2CP-R,17.0,NEU,0.1655588001012802,0.16587471961975098,0.6685664653778076,NEG
83,29 de mayo a las 7:02 am,"Le digo al min @WalterGCpy, @MINNAParaguay, en la 7.30 AM ABC Cardinal, Paraguay, que denuncias de abuso infantil tienen un porcentaje elevado de falsedad porque están soportados por ley 1600, que deroga de facto el Art. 17",0,Amigo hoy metiste la pata con tu jefa hoy....,2 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid027eepRrM9dPzPCJa1Y1F6yRFUqroBC9AoeXySbBQVbFty91TggqJZHDtnwge2WbgSl?__cft__[0]=AZUEzUQLINFOj8G4F9nW1D-TEbvQj3NDCBtI1xJl-lS3Pu4yW-ktcFDN1oHvXvHaaIWbAhAFf0get1qMX6xAFxZqZopHsBqFfPA9IdWh-FGFp8JQZA2EvW_BgkP5soCmx2ShuJWMT4qDp1_7fSyqa1zQhKAxOi-Wc6ABNEqmiM8MwxXl6xw9paBdQOmR6VAS7Uc&__tn__=%2CO%2CP-R,,NEG,0.018820375204086304,0.6065236330032349,0.37465599179267883,NEG
84,29 de mayo a las 6:52 am,"Ministro @WalterGCpy, @MINNAParaguay, admite, en la 7.30 AM ABC Cardinal, Paraguay, que las denuncias de abuso infantil (9 por día) no son casos confirmados y reconoce que no puden descartarse denuncias falsas. También admite que no hay datos sobre casos confirmados",0,Cuando vas a opinar sobre tu amigo Nenecho ?,,https://www.facebook.com/evargaspena/posts/pfbid02UYzbWS2BczvaDfuonMmE1UBCHrhvcJYLz3w7TYVabnDNPRhwF9hKyutncmfn6iubl?__cft__[0]=AZXOkre_pBIDcd2dcUD0QsoVknTsfQIKtLIsQeDVcWw5KNEV-zk0n7lTiX_AbUa8csnGXetl51NnovSEhp-H231w49ZHLcUl3V4ZcWI9uTUZ97-cJhhEBMfLHYYCqoEBBqRjR5XUkdZUJgYkVhd2okcWU7Ofxe3Ai7cnENkW8-g9F5rk2BR-v803RCO3oxBxZh4&__tn__=%2CO%2CP-R,,NEG,0.030765078961849213,0.5577466487884521,0.41148823499679565,NEG
85,29 de mayo a las 5:25 am,"Hola, hasta las 08:00 estoy en 7.30 AM ABC Cardinal, Paraguay. Deportes con Ariel Julian Marecos",0,Error grave..tuyo....metiste la pata con esta señora....,,https://www.facebook.com/evargaspena/videos/1183040336853194/?__cft__[0]=AZXp2WKQwYZvG7pVGxSMV-9QchT6SK0M0dgLT93Et8niTugT9bm-uEm3Xy57aBXZ_U7CYs0tKZtrMmcWDu079xVFVtc8oONnWiPBmpmcgdBz49xpkejOJZAo3u1VVtj-xzzvs73SQ8bG9Se5i3zJ8PK9wHF4g22LV3KS7Jn3y7oBxFhdJrDjysZvk77LpExvXwS18H0Ir2466b4NzoqA0cvx&__tn__=%2CO%2CP-R,,NEU,0.21240070462226868,0.031092524528503418,0.7565068006515503,NEG
86,29 de mayo a las 4:35 am,"Anoche @FelinoAmarilla explicó las expectativas que defensa de @KattyaGonzalez9 tiene sobre la Corte (@PoderJudicialPY) ahora que se integró. Después, hablamos con @hugopastore sobre las arbitrariedades de la dictadura autodenominada ""Unión Europea"" contra producción nacional",0,"Cuando le conviene, estos lo tienen claro., y que paso con otras barbaridades de la justicia?",,https://www.facebook.com/evargaspena/videos/1208150827173598/?__cft__[0]=AZUKAb6-TNYP_IHWYfzwCvBqEtXutrTAt6JvFdSChkq9Szf_tRUbEhETF_YFtfkbQSxp1RYx46L_syu1jIcLZVPwBo7Wjv5vyEYrDTLsDQkBY2S61szKEll-FVBMnS8S0iHMTu6CrajY04MxlCpP2asvS10mcXyBbGXMRHgCZ8omfQusC9xbHDVAugB6HppjUukqcMAMA94TpXa_6POJBOME&__tn__=%2CO%2CP-R,,NEG,0.04900747910141945,0.5545428991317749,0.39644965529441833,NEG
87,28 de mayo a las 9:01 pm,"A partir de las 20 horas estoy en ABCTV, en ""Mesa"", canales 19 de TigoStar y 3 de Personal tv",9,Luis Bareiro te hace 6 a 0,,https://www.facebook.com/evargaspena/videos/1380040879921781/?__cft__[0]=AZUQre7i4HxfbaowMc8XRee0Y100yckryvxh0RFAQkir2UAhpphfrIyiLfS1n4SoYEZepWGeqW7MsUptpY9SKmCQBJtWhGG3YULimZRDa7G39eniUyyR8ebVXwoZ-ZVSaXUzcnAmDyuAHZ-VgsxjUEbxqo4Hoz3Xm8AtBNejFFfeHErhGxWo0H91iHuMmvJc-NVtfSvHammkO_pkQ5OyGraB&__tn__=%2CO%2CP-R,6.0,NEU,0.15050607919692993,0.04011036828160286,0.8093835115432739,NEU
88,28 de mayo a las 7:19 pm,Muchísimas gracias por la persistente confianza de todos ustedes...que es más grande que la campañota de los fachos para cancelarme,0,Sos el Mejor Sr Vargas  Peña  exelente periodista,1 vez compartido,https://www.facebook.com/evargaspena/posts/pfbid02PMnujUTmBFdcUuZNU75U2zYQu8RzGfk9CSrh5Zx18C9xcgP2WC67bMoTELDVWQytl?__cft__[0]=AZU_k_yjHefQoPnuw_dsub_8_QQ3GfsmBreHOL_k3PvHKo1Vn1lWbtiFwbfWHW5aTwbb0-QhfA5v4SqeJf2F0J7vCbL8psT9MWylYYOWJ-83Fo1R2_srF-8pX8-3rcD7fALhSI9Y1o5JvvQ-KQ9RQVDVxy25JhxPWh5ySf3UV_liFGJ0xbJ_qkTBU0Shh-RlyCFLDe8fL2olI8GGfzX9Mbat&__tn__=%2CO%2CP-R,11.0,POS,0.5580800771713257,0.20614783465862274,0.2357720285654068,POS
89,28 de mayo a las 6:24 pm,"Desde las 17 y hasta las 19 seguimos con @figuejuanma en la 98.5 ABC FM, sólo  éxitos. @FigueJuanma hoy detrás de Guaraní",2,De anticartista a SuperCartista,,https://www.facebook.com/evargaspena/posts/pfbid02RjqKbeStdqR7PRftXwE87TewxxVW5wQXHzEGEaYDFN42viZ922CWj8b22gCkZR8sl?__cft__[0]=AZUQKrOMLbA2Img9HJVsSjNj5aiS6yTygpGX7FIJAhrY0lHllQYzqG8icGyWDuBqkC8iu46emRbF-v1KKv5WcloVlF7k7GyE2DOXBwO4HOQyV354AiAkXTtirv4_neh8wpdBlSdNceqiFYER06-EzsfXrr7A8-RM3t81YEhGmBFddo1KFybtCzebp1v27lgfMSdNi4dkfn83VXIC5_ANiK-F&__tn__=%2CO%2CP-R,25.0,POS,0.5674681663513184,0.03154527023434639,0.40098655223846436,NEG
90,28 de mayo a las 5:53 pm,Enorme @julioEnciso33...no hay que tener miedo de estos fachos de mierda que quieren legitimar la censura y menos de profesionales del lloro,0,"Tenes que ser debil y cobarde para necesitar que policías militares te consuelen porque alguien te insultó, nosotros los paraguayos tenemos libertad de insultar (no amenazar ni incitar a violencia) incluso al presidente sin consecuencia, eso es libertad",6 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid02TbdBrv1Yn6sdm8E6fSf7TXThgsLWYq78euzyBe1MofeGiHesj5BtMYW3qAhrFnFvl?__cft__[0]=AZXk_4qS-CM1lsN2DeqGd5vlr3xa5rNVto7HkZnfykXxLwGBgeRs-4dK3iX_RxAjwQ6TEJm0o7g6lXVLaCDKKNNgQETU0Z_hVZtOd5LrrM54x1vP0aZnu0Ha0IJdL-86lXbr-ZFmFrHbWvMfcPXnmtrEhnOXcI2qaxYUpBW8FVRvJHk6wVUN9IK9qLPtPPneihv8A6fjCjysZVgx6o4vrDzR&__tn__=%2CO%2CP-R,2.0,NEG,0.007001034915447235,0.9617706537246704,0.031228290870785713,NEG
